CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;7.09;Distribuição do Valor Adicionado;71467284.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;7.09;Distribuição do Valor Adicionado;71563837.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;7.09.01;Pessoal;26559922.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;7.09.01;Pessoal;28130843.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;7.09.01.01;Remuneração Direta;16980142.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;7.09.01.01;Remuneração Direta;17935606.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;7.09.01.02;Benefícios;3723370.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;7.09.01.02;Benefícios;4000191.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;7.09.01.03;F.G.T.S.;836216.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;7.09.01.03;F.G.T.S.;890170.0000000000;S
