CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1;Ativo Total;5193841.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01;Ativo Circulante;866467.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01;Ativo Circulante;1056634.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.01;Caixa e Equivalentes de Caixa;276950.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.01;Caixa e Equivalentes de Caixa;361914.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.02;Aplicações Financeiras;350143.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.02;Aplicações Financeiras;225764.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.02.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;0.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.02.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;0.0000000000;S
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;025674;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.02.01.01;Títulos para Negociação;0.0000000000;S
